% selection
@RELATION myRel

@ATTRIBUTE IMPACT_TYPE NUMERIC
@ATTRIBUTE ENVIRONMENT NUMERIC
@ATTRIBUTE LIGHT NUMERIC
@ATTRIBUTE ROAD_SURFACE_CONDITION NUMERIC
@ATTRIBUTE TRAFFIC_CONTROL_CONDITION NUMERIC
@ATTRIBUTE NO_OF_PEDESTRIANS NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE Y NUMERIC
@ATTRIBUTE Highway NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_01 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_02 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_03 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_04 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_07 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_08 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_09 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_11 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_01 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_02 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_03 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_04 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_05 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_06 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_07 NUMERIC
@ATTRIBUTE categorical_Seasons_Fall NUMERIC
@ATTRIBUTE categorical_Seasons_Spring NUMERIC
@ATTRIBUTE categorical_Seasons_Summer NUMERIC
@ATTRIBUTE categorical_Seasons_Winter NUMERIC
@ATTRIBUTE class REAL

@DATA
7.0,3.0,1.0,6.0,0.0,0.0,0.5599127849766674,0.7373303149914676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,1.0,6.0,0.0,0.0,0.4827039385308609,0.6613333398170056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3.0,3.0,1.0,6.0,0.0,0.0,0.5715980315446529,0.7615972440318046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,3.0,1.0,3.0,0.0,0.0,0.648388480564428,0.8033240125761836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,1.0,5.0,0.0,0.0,0.68866929602311,0.7891238396825315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,3.0,0.0,0.0,0.7372662372906227,0.7160626163393573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,5.0,0.0,0.0,0.6859474594112402,0.7911683782028831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,3.0,1.0,2.0,0.0,0.0,0.5542967843495674,0.7271037289068829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,3.0,1.0,5.0,0.0,0.0,0.7367621377913984,0.7152760670775821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,6.0,0.0,0.0,0.5167769575549581,0.5067897495733149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,3.0,1.0,6.0,0.0,0.0,0.5141073284445588,0.515587460284209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,1.0,7.0,1.0,0.0,0.0,0.7769687210067531,0.7043695671641217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7.0,7.0,7.0,2.0,0.0,0.0,0.9111042486975522,0.6555475092067269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
