DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-12-07,18:50:00,03,07,01,07,01,,0,343596.5779,5016299.574,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,01:35:00,03,07,01,07,01,,0,387484.8805,5023585.103999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,07:47:00,02,07,01,03,01,,0,370937.6929,5031269.945,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,13:00:00,03,03,05,01,01,,0,365084.7536,5028596.02,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,16:40:00,03,03,03,05,03,,0,365756.20399999997,5029176.473999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,17:18:00,03,03,01,07,01,,0,363387.6889,5026125.174,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,17:40:00,03,03,03,07,03,,0,367757.2104,5030002.896000001,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,17:50:00,03,03,03,07,03,,0,361459.2626,5024302.475,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,18:16:00,03,04,03,07,02,,0,363130.5776,5025779.702,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,20:00:00,03,04,03,07,00,,0,367446.9559,5029839.238,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,20:27:00,02,07,03,07,06,,0,371597.0246,5031426.16,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,20:40:00,03,07,03,07,06,,0,366534.3144,5029500.781,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,20:55:00,03,03,03,07,06,,0,365732.7178,5029142.138,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:15:00,03,07,01,07,03,,0,371954.0223,5031465.827,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:05:00,03,04,03,07,06,,0,364912.0132,5028287.328,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:35:00,02,07,03,07,06,,0,371650.6235,5031410.348999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:45:00,03,03,03,07,06,,0,366594.5902,5029539.775,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,20:55:00,03,03,03,07,06,,0,365681.8147,5029107.298,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:55:00,03,07,03,07,03,,0,366357.7351,5029461.947,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:55:00,03,03,03,07,03,,0,366204.6345,5029402.555,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,22:00:00,03,04,03,07,06,,0,372287.6547,5031502.009,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-08,21:00:00,03,03,03,07,06,,0,365326.1431,5028869.464,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-09,14:25:00,03,03,01,01,01,,0,364639.8586,5027830.3719999995,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-09,21:41:00,02,04,01,07,02,,0,371287.8188,5031390.45,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,08:10:00,03,07,01,01,06,,0,351722.79600000003,5019153.438,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,17:15:00,03,03,01,07,01,,0,370771.0114,5031184.393999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,17:15:00,03,03,01,07,01,,0,370778.2678,5031186.2069999995,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-10,17:15:00,03,03,01,07,01,,0,370769.4481,5031184.002,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
